geo_id,region_code,division_code,state_fips_code,state_gnis_code,state,state_name,area_land_meters,area_water_meters,int_point_lat,int_point_lon
69,9,0,69,1779809,MP,Commonwealth of the Northern Mariana Islands,472292529,4644252458,14.9367835,145.601021
60,9,0,60,1802701,AS,American Samoa,197759069,1307243751,-14.267159,-170.6682674
66,9,0,66,1802705,GU,Guam,543555844,934337453,13.4417451,144.7719021
72,9,0,72,1779808,PR,Puerto Rico,8868701898,4922576715,18.217648,-66.4107992
78,9,0,78,1802710,VI,United States Virgin Islands,348021896,1550236199,18.326748,-64.9712508
9,1,1,9,1779780,CT,Connecticut,12542497381,1815617293,41.5798637,-72.7466572
50,1,1,50,1779802,VT,Vermont,23874197924,1030383955,44.0685773,-72.6691839
33,1,1,33,1779794,NH,New Hampshire,23189198255,1026903434,43.6726907,-71.5843145
23,1,1,23,1779787,ME,Maine,79887659040,11745717739,45.4092843,-68.666616
44,1,1,44,1219835,RI,Rhode Island,2677787140,1323663210,41.5974187,-71.5272723
25,1,1,25,606926,MA,Massachusetts,20204387828,7130663019,42.1565196,-71.4895915
36,1,2,36,1779796,NY,New York,1.22E+11,19246143659,42.9133974,-75.5962723
42,1,2,42,1779798,PA,Pennsylvania,1.16E+11,3398574954,40.9046013,-77.8275298
34,1,2,34,1779795,NJ,New Jersey,19048848841,3543837357,40.1072744,-74.6652012
39,2,3,39,1085497,OH,Ohio,1.06E+11,10274036690,40.4149297,-82.7119975
17,2,3,17,1779784,IL,Illinois,1.44E+11,6215723896,40.1028754,-89.1526108
18,2,3,18,448508,IN,Indiana,92790048198,1537252652,39.9013136,-86.2919129
55,2,3,55,1779806,WI,Wisconsin,1.40E+11,29344176961,44.6309071,-89.7093916
26,2,3,26,1779789,MI,Michigan,1.47E+11,1.04E+11,44.8441768,-85.6604907
20,2,4,20,481813,KS,Kansas,2.12E+11,1346010601,38.4985464,-98.3834298
19,2,4,19,1779785,IA,Iowa,1.45E+11,1084981626,42.0700243,-93.4933473
31,2,4,31,1779792,NE,Nebraska,1.99E+11,1374686302,41.5433053,-99.8118646
38,2,4,38,1779797,ND,North Dakota,1.79E+11,4411365971,47.442174,-100.4608258
27,2,4,27,662849,MN,Minnesota,2.06E+11,18942261495,46.3159573,-94.1996043
46,2,4,46,1785534,SD,South Dakota,1.96E+11,3383460688,44.4467957,-100.2381762
29,2,4,29,1779791,MO,Missouri,1.78E+11,2489250399,38.35075,-92.4567826
45,3,5,45,1779799,SC,South Carolina,77864659170,5075874513,33.8741776,-80.8542639
12,3,5,12,294478,FL,Florida,1.39E+11,31362872853,28.4574302,-82.4091477
54,3,5,54,1779805,WV,West Virginia,62266231560,489271086,38.6472854,-80.6183274
37,3,5,37,1027616,NC,North Carolina,1.26E+11,13463401534,35.53971,-79.1308636
11,3,5,11,1702382,DC,District of Columbia,158340389,18687196,38.9042474,-77.0165167
13,3,5,13,1705317,GA,Georgia,1.49E+11,4420380296,32.6295789,-83.4235109
24,3,5,24,1714934,MD,Maryland,25151726296,6979340970,38.9466584,-76.6744939
10,3,5,10,1779781,DE,Delaware,5046620081,1399291164,38.9985661,-75.441644
51,3,5,51,1779803,VA,Virginia,1.02E+11,8527942672,37.5222512,-78.6681938
21,3,6,21,1779786,KY,Kentucky,1.02E+11,2372611005,37.5336844,-85.2929801
28,3,6,28,1779790,MS,Mississippi,1.22E+11,3923863925,32.6864714,-89.6561377
47,3,6,47,1325873,TN,Tennessee,1.07E+11,2347012319,35.860803,-86.3499896
1,3,6,1,1779775,AL,Alabama,1.31E+11,4593183334,32.7396323,-86.8434593
22,3,7,22,1629543,LA,Louisiana,1.12E+11,23752001883,30.8634368,-91.7987173
48,3,7,48,1779801,TX,Texas,6.77E+11,18991880422,31.4347032,-99.2818238
5,3,7,5,68085,AR,Arkansas,1.35E+11,2956395922,34.8955256,-92.4446262
40,3,7,40,1102857,OK,Oklahoma,1.78E+11,3374950118,35.5900512,-97.4868149
8,4,8,8,1779779,CO,Colorado,2.68E+11,1184637800,38.9938482,-105.5083165
32,4,8,32,1779793,NV,Nevada,2.85E+11,1839662829,39.3310928,-116.6151469
49,4,8,49,1455989,UT,Utah,2.13E+11,6529910339,39.3349925,-111.6563326
35,4,8,35,897535,NM,New Mexico,3.14E+11,727781442,34.4346843,-106.1316181
30,4,8,30,767982,MT,Montana,3.77E+11,3869031338,47.0511771,-109.6348174
16,4,8,16,1779783,ID,Idaho,2.14E+11,2391604238,44.3484222,-114.5588538
4,4,8,4,1779777,AZ,Arizona,2.94E+11,859561204,34.2039355,-111.6063565
56,4,8,56,1779807,WY,Wyoming,2.51E+11,1867637632,42.9896591,-107.5443922
2,4,9,2,1785533,AK,Alaska,1.48E+12,2.45E+11,63.347356,-152.8397334
53,4,9,53,1779804,WA,Washington,1.72E+11,12549727444,47.4073238,-120.5757999
15,4,9,15,1779782,HI,Hawaii,16634006436,11777792811,19.5977643,-155.5024434
6,4,9,6,1779778,CA,California,4.04E+11,20305454540,37.1551773,-119.5434183
41,4,9,41,1155107,OR,Oregon,2.49E+11,6191602576,43.9717125,-120.6229578
